Z,N,symbol,energy ,, jp,
11,12,Na,10907,,0.5,1
11,12,Na,10908,,2.5,5
11,12,Na,10918,,0.5,1
11,12,Na,10930,,1.5,3
11,12,Na,10953,,0.5,1
11,12,Na,10954,,3.5,7
11,12,Na,10968,,2.5,5
11,12,Na,10973,,1.5,3
11,12,Na,10981,,1.5,3
11,12,Na,10993,,0.5,1
11,12,Na,10994,,1.5,3
11,12,Na,11040,,0.5,1
11,12,Na,11088,,0.5,1
11,12,Na,11109,,2.5,5
11,12,Na,11112,,1.5,3
11,12,Na,11198,,1.5,3
11,12,Na,11238,,1.5,3
11,12,Na,11250,,1.5,3
11,12,Na,11267,,1.5,3
11,12,Na,11273,,1.5,3
11,12,Na,11277,,1.5,3
11,12,Na,11280,,1.5,3
11,12,Na,11286,,0.5,1
11,12,Na,11303,,1.5,3
11,12,Na,11329,,0.5,1
11,12,Na,11334,,2.5,5
11,12,Na,11335,,1.5,3
11,12,Na,11336,,1.5,3
11,12,Na,11351,,0.5,1
11,12,Na,11355,,0.5,1
11,12,Na,11426,,0.5,1
11,12,Na,11496,,3.5,7
11,12,Na,11520,,2.5,5
11,12,Na,11525,,2.5,5
11,12,Na,11539,,2.5,5
11,12,Na,11554,,0.5,1
11,12,Na,11585,,2.5,5
11,12,Na,11613,,1.5,3
11,12,Na,11665,,0.5,1
11,12,Na,11692,,0.5,1
11,12,Na,11701,,1.5,3
11,12,Na,11709,,2.5,5
11,12,Na,11748,,3.5,7
11,12,Na,11765,,0.5,1
11,12,Na,12556.8,,2.5,5
11,12,Na,19594.9,,2.5,5
12,12,Mg,0,,0,
12,12,Mg,1368.672,,2,
12,12,Mg,4122.889,,4,
12,12,Mg,4238.24,,2,
12,12,Mg,5235.12,,3,
12,12,Mg,6010.84,,4,
12,12,Mg,6432.3,,0,
12,12,Mg,7349,,2,
12,12,Mg,7555.04,,1,
12,12,Mg,7616.47,,3,
12,12,Mg,7747.51,,1,
12,12,Mg,7812.35,,5,
12,12,Mg,8114.2,,6,
12,12,Mg,8357.98,,3,
12,12,Mg,8437.31,,1,
12,12,Mg,8439.36,,4,
12,12,Mg,8654.53,,2,
12,12,Mg,8864.29,,2,
12,12,Mg,9003.34,,2,
12,12,Mg,9145.99,,1,
12,12,Mg,9284.22,,2,
12,12,Mg,9301.15,,2,
12,12,Mg,9305.39,,0,
12,12,Mg,9457.81,,3,
12,12,Mg,9516.28,,4,
12,12,Mg,9527.8,,6,
12,12,Mg,9532.48,,2,
12,12,Mg,9828.11,,1,
12,12,Mg,9967.19,,1,
12,12,Mg,10027.97,,5,
12,12,Mg,10058.54,,1,
12,12,Mg,10161,,0,
12,12,Mg,10360.51,,2,
12,12,Mg,10576.02,,4,
12,12,Mg,10581.31,,2,
12,12,Mg,10659.58,,1,
12,12,Mg,10660.03,,4,
12,12,Mg,10679.7,,0,
12,12,Mg,10711.74,,1,
12,12,Mg,10730.79,,2,
12,12,Mg,10820.7,,3,
12,12,Mg,10916.96,,2,
12,12,Mg,11010.5,,3,
12,12,Mg,11015.8,,2,
12,12,Mg,11162,,3,
12,12,Mg,11181,,3,
12,12,Mg,11216.79,,4,
12,12,Mg,11293.2,,2,
12,12,Mg,11314.4,,3,
12,12,Mg,11389.8,,1,
12,12,Mg,11452.51,,2,
12,12,Mg,11457,,2,
12,12,Mg,11518.2,,2,
12,12,Mg,11596,,3,
12,12,Mg,11695.6,,4,
12,12,Mg,11728.1,,0,
12,12,Mg,11864.9,,1,
12,12,Mg,11969.6,,2,
12,12,Mg,11987.72,,2,
12,12,Mg,12015.2,,3,
12,12,Mg,12049.1,,4,
12,12,Mg,12119.5,,2,
12,12,Mg,12160.6,,4,
12,12,Mg,12181.23,,1,
12,12,Mg,12257.5,,3,
12,12,Mg,12257.69,,2,
12,12,Mg,12339,,2,
12,12,Mg,12398.7,,2,
12,12,Mg,12403.3,,2,
12,12,Mg,12468,,2,
12,12,Mg,12504,,4,
12,12,Mg,12526.5,,1,
12,12,Mg,12577,,2,
12,12,Mg,12636.8,,4,
12,12,Mg,12658.9,,3,
12,12,Mg,12669.9,,2,
12,12,Mg,12737.1,,2,
12,12,Mg,12776,,2,
12,12,Mg,12805.9,,2,
12,12,Mg,12815.9,,1,
12,12,Mg,12845,,3,
12,12,Mg,12852,,1,
12,12,Mg,12861,,2,
12,12,Mg,12893.2,,1,
12,12,Mg,12919.7,,2,
12,12,Mg,12954.9,,1,
12,12,Mg,12961.9,,1,
12,12,Mg,12972,,4,
12,12,Mg,13027.9,,2,
12,12,Mg,13044,,0,
12,12,Mg,13050.22,,3,
12,12,Mg,13056,,4,
12,12,Mg,13086.8,,2,
12,12,Mg,13343.8,,3,
12,12,Mg,13444.9,,1,
12,12,Mg,13473,,2,
12,12,Mg,15436.4,,0,
12,13,Mg,0,,2.5,5
12,13,Mg,585.045,,0.5,1
12,13,Mg,974.756,,1.5,3
12,13,Mg,1611.768,,3.5,7
12,13,Mg,1964.624,,2.5,5
12,13,Mg,2563.36,,0.5,1
12,13,Mg,2737.8,,3.5,7
12,13,Mg,2801.46,,1.5,3
12,13,Mg,3405.06,,4.5,9
12,13,Mg,3413.374,,1.5,3
12,13,Mg,3907.9,,2.5,5
12,13,Mg,3970.73,,3.5,7
12,13,Mg,4059.6,,4.5,9
12,13,Mg,4277.1,,0.5,1
12,13,Mg,4359.61,,1.5,3
12,13,Mg,4711.6,,4.5,9
12,13,Mg,4722.2,,2.5,5
12,13,Mg,5012.2,,3.5,7
12,13,Mg,5116.52,,0.5,1
12,13,Mg,5251.63,,5.5,11
12,13,Mg,5461.1,,6.5,13
12,13,Mg,5474.9,,0.5,1
12,13,Mg,5521.33,,2.5,5
12,13,Mg,5533.8,,5.5,11
12,13,Mg,5746.2,,3.5,7
12,13,Mg,5748.4,,1.5,3
12,13,Mg,5793.2,,3.5,7
12,13,Mg,5860,,2.5,5
12,13,Mg,5971.6,,4.5,9
12,13,Mg,5980,,3.5,7
12,13,Mg,6040.7,,3.5,7
12,13,Mg,6082,,2.5,5
12,13,Mg,6169,,1.5,3
12,13,Mg,6362,,1.5,3
12,13,Mg,6434,,4.5,9
12,13,Mg,6468,,1.5,3
12,13,Mg,6570,,0.5,1
12,13,Mg,6678,,2.5,5
12,13,Mg,6777,,0.5,1
12,13,Mg,6832,,1.5,3
12,13,Mg,6840,,2.5,5
12,13,Mg,6914,,2.5,5
12,13,Mg,6958,,2.5,5
12,13,Mg,7038,,2.5,5
12,13,Mg,7089,,1.5,3
12,13,Mg,7182,,1.5,3
12,13,Mg,7228,,1.5,3
12,13,Mg,7265.4,,0.5,1
12,13,Mg,7286,,3.5,7
12,13,Mg,7375.08,,1.5,3
12,13,Mg,7396.37,,0.5,1
12,13,Mg,7410.74,,1.5,3
12,13,Mg,7493,,5.5,11
12,13,Mg,7500.2,,2.5,5
12,13,Mg,7525,,2.5,5
12,13,Mg,7551,,6.5,13
12,13,Mg,7577.47,,2.5,5
12,13,Mg,7586.04,,0.5,1
12,13,Mg,7634,,1.5,3
12,13,Mg,7653,,4.5,9
12,13,Mg,7744.41,,1.5,3
12,13,Mg,7787,,2.5,5
12,13,Mg,7801,,4.5,9
12,13,Mg,7808.9,,1.5,3
12,13,Mg,7839,,3.5,7
12,13,Mg,7863.7,,1.5,3
12,13,Mg,7866,,3.5,7
12,13,Mg,7946.8,,0.5,1
12,13,Mg,7961,,3.5,7
12,13,Mg,7962.7,,0.5,1
12,13,Mg,8011,,4.5,9
12,13,Mg,8076,,2.5,5
12,13,Mg,8119,,3.5,7
12,13,Mg,8141,,1.5,3
12,13,Mg,8244,,1.5,3
12,13,Mg,8267,,3.5,7
12,13,Mg,8311.5,,2.5,5
12,13,Mg,8316.8,,1.5,3
12,13,Mg,8324.4,,0.5,1
12,13,Mg,8351.5,,1.5,3
12,13,Mg,8362.8,,0.5,1
